City,Address,Number_of_rooms,Type,Price_in_dollars,All_Method,REA,Dateofsold,DistanceKM,Postcode,Bathroom,car_place,LandSizeMetres,BuildinSizeMetres,YearBuilt,CouncilArea,Lattitude,Longtitude,GeneralRegion,No_of_properties
Hawthorn,7/21 Elphin Gr,1,u,330000,PI,RT,07-05-2016,4.6,3122,1,1,0,52,1970,Boroondara City Council,-37.8177,145.0424,Southern Metropolitan,11308
Northcote,14 Henry St,2,h,1112000,S,Nelson,12-06-2016,5.5,3070,1,2,238,,,Darebin City Council,-37.7732,144.9957,Northern Metropolitan,11364
Ivanhoe,4/75 Green St,2,t,880000,S,Miles,22-07-2017,7.8,3079,1,2,229,113,2005,Banyule City Council,-37.7651,145.03452,Eastern Metropolitan,5549
Fawkner,18 June St,3,h,,SN,Barry,19-11-2016,12.4,3060,1,1,624,157,1960,Hume City Council,-37.7002,144.9753,Northern Metropolitan,5070
Thomastown,22/20 Spring St,2,u,397500,S,HAR,28-10-2017,15.3,3074,,,,,,Whittlesea City Council,,,Northern Metropolitan,7955
Epping,30 Bradman Tce,4,h,,PI,HAR,14-10-2017,19.6,3076,3,2,,,,Whittlesea City Council,-37.6411,145.06305,Northern Metropolitan,10926
Chadstone,139 Power Av,3,h,882000,SP,Buxton,07-10-2017,11.7,3148,1,1,332,86,1950,Monash City Council,-37.8794,145.10616,Southern Metropolitan,3582
Heathmont,11 Doulton Av,3,h,1051000,S,Barry,06-01-2018,21.3,3135,1,,828,105,1960,Maroondah City Council,-37.82776,145.239,Eastern Metropolitan,3794
St Albans,8 Avondale Av,5,h,,SN,Barry,17-06-2017,14,3021,,,,,,Brimbank City Council,,,Western Metropolitan,14042
Reservoir,9 Darebin Bvd,4,h,905000,S,Barry,29-07-2017,12,3073,1,2,870,,,Darebin City Council,-37.70433,145.02068,Northern Metropolitan,21650
Carlton North,909 Rathdowne St,3,h,1700000,VB,Nelson,24-02-2018,3.5,3054,1,1,176,,,Melbourne City Council,-37.7829,144.9727,Northern Metropolitan,3106
Doncaster East,31 Cavalier St,3,h,1451000,S,Barry,27-05-2017,14.3,3109,2,2,695,130.52,1960,Manningham City Council,-37.78541,145.15493,Eastern Metropolitan,10999
South Yarra,8/44 Murphy St,1,u,955000,PI,Williams,10-12-2016,3.3,3141,1,1,0,85,,Melbourne City Council,-37.8357,144.991,Southern Metropolitan,14887
Mooroolbark,254 Manchester Rd,5,h,740000,S,Fletchers,25-11-2017,26.5,3138,2,2,866,,,Yarra Ranges Shire Council,-37.7674,145.3148,Eastern Victoria,8280
Strathmore,8 Jones Ct,3,h,1021000,S,Considine,08-04-2017,9.7,3041,2,2,371,183,2014,Moonee Valley City Council,-37.7229,144.9055,Western Metropolitan,3284
Preston,36 Penola St,3,h,,SP,Barry,27-11-2016,8.8,3072,2,2,334,129,1940,Darebin City Council,-37.7459,144.9962,Northern Metropolitan,14577
Frankston,4 Eton Ct,4,h,695000,S,Ray,03-09-2017,38,3199,1,3,713,109,1950,Frankston City Council,-38.15675,145.12707,South-Eastern Metropolitan,17055
Broadmeadows,1/350 Camp Rd,2,u,420000,PI,Barry,17-02-2018,14,3047,,,,,,Hume City Council,,,Northern Metropolitan,4294
Bentleigh East,55 Edinburgh St,3,h,1230000,S,C21,25-11-2017,13.8,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Brunswick,24 Murdock St,3,h,1050000,S,Woodards,28-10-2017,5.2,3056,1,1,299,,,Moreland City Council,-37.75655,144.95859,Northern Metropolitan,11918
Craigieburn,5 Tephra Cr,4,h,,PI,YPA,09-12-2017,20.6,3064,2,2,399,,,Hume City Council,-37.60443,144.90298,Northern Metropolitan,15510
Blackburn,352 Middleborough Rd,3,h,1040000,VB,Noel,16-09-2017,13.4,3130,1,2,700,,,Whitehorse City Council,-37.82378,145.13778,Eastern Metropolitan,5713
Brighton,161 Church St,5,h,5800000,PI,Castran,08-04-2017,11.2,3186,4,4,1276,,1880,Bayside City Council,-37.9164,144.9974,Southern Metropolitan,10579
Northcote,3 Northcote St,3,h,1610000,SP,Nelson,20-05-2017,5.5,3070,2,1,411,,,Darebin City Council,-37.7744,145.0077,Northern Metropolitan,11364
Reservoir,2/82 Leamington St,2,t,626000,S,Ray,17-03-2018,12,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Mulgrave,38 Brunton Cr,3,h,760000,S,Ray,24-02-2018,18.8,3170,2,1,321,,,Monash City Council,-37.93318,145.19097,South-Eastern Metropolitan,7113
Albion,20 Hutchinson St,3,h,625000,SP,FN,25-02-2017,13.9,3020,1,0,695,,,Brimbank City Council,-37.7808,144.8186,Western Metropolitan,2185
Surrey Hills,3 Wells St,5,h,2220000,SP,Noel,17-03-2018,10.2,3127,1,3,780,,,Boroondara City Council,-37.81874,145.08852,Southern Metropolitan,5457
Canterbury,21 Selwyn St,4,h,,SP,Kay,16-09-2017,8.4,3126,3,2,602,220,1920,Boroondara City Council,-37.82973,145.08483,Southern Metropolitan,3265
Newport,11 Challis St,3,h,1370000,S,Jas,29-04-2017,8.4,3015,1,3,752,,,Hobsons Bay City Council,-37.8481,144.8721,Western Metropolitan,5498
Surrey Hills,28 Guildford Rd,3,h,2009000,S,Noel,03-09-2016,11.2,3127,1,2,843,,,Boroondara City Council,-37.822,145.0897,Southern Metropolitan,5457
Richmond,49 Garfield St,2,t,950000,VB,hockingstuart,06-05-2017,2.6,3121,1,1,113,118,2012,Yarra City Council,-37.8119,144.9947,Northern Metropolitan,14949
Preston,120a Bruce St,4,h,1260000,S,Nelson,10-09-2016,8.8,3072,,,,,,Darebin City Council,,,Northern Metropolitan,14577
Brunswick East,301/455 Lygon St,1,u,360000,SP,McGrath,19-08-2017,4,3057,1,0,,43,2014,Moreland City Council,-37.76389,144.97286,Northern Metropolitan,5533
Wheelers Hill,16 Belinda Cr,4,h,1223000,S,Harcourts,03-09-2017,16.7,3150,3,2,872,,,Monash City Council,-37.90248,145.187,South-Eastern Metropolitan,7392
Carrum Downs,5 Atkins Ct,3,h,500000,S,Ray,17-06-2017,34.9,3201,2,2,509,125,1993,Frankston City Council,-38.09111,145.19084,South-Eastern Metropolitan,8060
Greensborough,17 Thoona Gr,4,h,1215000,S,Jellis,06-01-2018,16.1,3088,2,2,775,,,Banyule City Council,-37.709,145.10871,Northern Metropolitan,8524
Ringwood,3 Kinton Ct,3,h,,SS,Philip,14-10-2017,19.9,3134,2,2,681,,,Maroondah City Council,-37.79729,145.24935,Eastern Metropolitan,7785
Greenvale,20 Inverie Ct,5,h,,W,RW,01-07-2017,20.4,3059,3,2,743,283,2005,Hume City Council,-37.6444,144.90806,Northern Metropolitan,4864
Strathmore,2/13 Fenacre St,3,h,622500,S,Barry,16-07-2016,9.7,3041,2,2,254,127,2004,Moonee Valley City Council,-37.7302,144.9167,Western Metropolitan,3284
Mernda,24 Stradling Ri,4,h,662000,PI,Barry,06-01-2018,25.9,3754,,,,,,Whittlesea City Council,,,Northern Metropolitan,5812
Prahran,101/323 Dandenong Rd,2,u,690000,S,McGrath,20-05-2017,4.5,3181,2,2,1146,,,Stonnington City Council,-37.8597,145.0093,Southern Metropolitan,7717
Hawthorn,15/284 Barkers Rd,2,u,,PN,Kay,06-08-2016,4.6,3122,1,1,129,,,Boroondara City Council,-37.8159,145.0402,Southern Metropolitan,11308
Templestowe,6 Vivaldi Ct,5,h,,PI,Jellis,23-09-2017,15.5,3106,3,2,785,,,Manningham City Council,-37.76258,145.16615,Eastern Metropolitan,6202
Heathmont,37 The Boulevard,4,h,,PI,Barry,18-11-2017,21.3,3135,2,2,,,,Maroondah City Council,-37.8322,145.252,Eastern Metropolitan,3794
Brighton East,26 Binnie St,3,h,,S,Buxton,04-03-2017,10.7,3187,2,2,654,180,1940,Bayside City Council,-37.9247,145.0087,Southern Metropolitan,6938
Ashburton,2/16 Samarinda Av,4,h,1300000,VB,Lindellas,17-03-2018,10.2,3147,,,,,,Boroondara City Council,,,Southern Metropolitan,3052
Carnegie,2/5 Anzac St,2,u,780000,S,Woodards,10-02-2018,10.1,3163,2,2,,147,2013,Glen Eira City Council,-37.88605,145.06634,Southern Metropolitan,7822
Hughesdale,2/12 Clapham Rd,2,u,,PI,Ray,11-11-2017,12.3,3166,,,,,,Monash City Council,,,Southern Metropolitan,3145
West Melbourne,122 Railway Pl,3,t,1150000,S,Jellis,24-02-2018,3.1,3003,2,2,678,,,Melbourne City Council,-37.80787,144.94334,Northern Metropolitan,2230
Montmorency,56 Astley St,4,h,,SP,Morrison,06-01-2018,16.2,3094,2,1,,213,1980,Banyule City Council,-37.72096,145.11751,Eastern Metropolitan,3891
Bentleigh East,71 Deakin St,5,h,1550000,PI,hockingstuart,27-11-2016,13.9,3165,3,2,583,296,2007,Glen Eira City Council,-37.9143,145.0699,Southern Metropolitan,10969
Richmond,3/69 Palmer St,2,u,660000,S,hockingstuart,28-10-2017,2.4,3121,,,,,,Yarra City Council,,,Northern Metropolitan,14949
Reservoir,2/4 Pratt St,3,t,642500,S,Barry,03-06-2017,12,3073,2,2,160,140,2010,Darebin City Council,-37.71064,145.01067,Northern Metropolitan,21650
Thornbury,260a Gooch St,2,t,,PI,Nelson,03-03-2018,7,3071,,,,,,Darebin City Council,,,Northern Metropolitan,8870
Richmond,7/1 Victoria Pl,3,u,,PI,LITTLE,28-05-2016,2.6,3121,2,1,0,90,1990,Yarra City Council,-37.8108,144.9994,Northern Metropolitan,14949
Aspendale,34 Albany Cr,3,h,1000000,S,Buxton,06-01-2018,21.5,3195,1,2,556,146,1970,Kingston City Council,-38.02357,145.10492,South-Eastern Metropolitan,2824
Delahey,22 Brampton Cct,3,h,,PI,Calder,06-01-2018,18,3037,2,2,,193,2000,Brimbank City Council,-37.72137,144.77254,Western Metropolitan,2898
Tarneit,2/21 Chesterton Av,3,u,400000,SP,Barry,03-09-2017,18.4,3029,2,1,,116,2006,Wyndham City Council,-37.8673,144.6603,Western Metropolitan,10160
Kew,51 Davis St,4,h,,SN,RT,12-11-2016,5.6,3101,2,3,840,223,1880,Boroondara City Council,-37.8108,145.0463,Southern Metropolitan,10331
Chelsea,84 Hughes Av,3,h,,SP,Biggin,03-09-2017,27,3196,1,2,604,,,Kingston City Council,-38.04136,145.12419,South-Eastern Metropolitan,3906
Fawkner,32 Murray St,2,h,949500,S,Brad,13-05-2017,12.4,3060,1,1,689,,,Hume City Council,-37.7052,144.964,Northern Metropolitan,5070
Hampton,27 David St,2,h,1871000,S,Buxton,03-12-2016,13.7,3188,,,,,,Bayside City Council,,,Southern Metropolitan,5454
Cheltenham,44 Eunice Dr,3,h,900000,S,Barry,24-06-2017,17.9,3192,1,2,537,120,1965,Bayside City Council,-37.96388,145.07807,Southern Metropolitan,9758
Kew,11 Gordon Av,4,h,2150000,S,Marshall,25-02-2017,5.6,3101,,,,,,Boroondara City Council,,,Southern Metropolitan,10331
Gisborne,1/5 Robert Ct,3,h,535000,SP,Raine,06-01-2018,45.9,3437,,,,,,Macedon Ranges Shire Council,,,Northern Victoria,3376
Reservoir,7 Allan St,4,h,,SN,Love,03-06-2017,12,3073,1,2,725,,,Darebin City Council,-37.71779,144.98829,Northern Metropolitan,21650
Toorak,7/3 Tahara Rd,2,u,701500,S,Kay,04-06-2016,4.6,3142,1,1,0,,1951,Stonnington City Council,-37.8384,145.0178,Southern Metropolitan,7217
Camberwell,8 Crellin Gr,3,h,1800000,VB,Garvey,25-11-2017,7.7,3124,,,,,,Boroondara City Council,,,Southern Metropolitan,8920
Hampton,304/33 Crisp St,2,u,850000,S,hockingstuart,06-01-2018,13.8,3188,,,,,,Bayside City Council,,,Southern Metropolitan,5454
Cheltenham,30 Nancy St,3,h,1050000,PI,Barry,22-07-2017,17.9,3192,1,2,539,169,1970,Bayside City Council,-37.97223,145.07895,Southern Metropolitan,9758
Mickleham,55 Turion Dr,4,h,450000,PI,Jason,23-09-2017,20.6,3064,,,,,,Hume City Council,,,Northern Metropolitan,1158
Seddon,32 Walter St,4,h,970000,VB,Jas,23-04-2016,6.6,3011,2,1,149,127,1920,Maribyrnong City Council,-37.8047,144.8948,Western Metropolitan,2417
Kooyong,87 Talbot Cr,4,h,1815000,S,Marshall,12-11-2016,6.2,3144,,,,,,Stonnington City Council,,,Southern Metropolitan,394
Ivanhoe,86 Oriel Rd,4,h,,SN,Barry,13-08-2016,7.9,3079,2,2,630,,,Banyule City Council,-37.7576,145.0378,Eastern Metropolitan,5549
Hawthorn,8/22 Hill St,2,u,550000,S,Marshall,11-11-2017,5.3,3122,,,,,,Boroondara City Council,,,Southern Metropolitan,11308
South Morang,15 Ferncroft Dr,4,h,600000,PI,Millership,01-07-2017,20.5,3752,2,2,505,222,2009,Whittlesea City Council,-37.61957,145.0948,Northern Metropolitan,7969
Dandenong North,2 Chifley Cr,3,h,465000,S,Del,08-07-2017,24.7,3175,1,1,375,,,Greater Dandenong City Council,-37.9674,145.20552,South-Eastern Metropolitan,8322
Maribyrnong,33 Newstead St,3,h,1320000,S,Nelson,10-09-2016,8.7,3032,2,2,645,211,1900,Maribyrnong City Council,-37.7662,144.8971,Western Metropolitan,4918
Northcote,122 Emmaline St,2,h,1020000,S,Nelson,10-09-2016,5.5,3070,1,2,347,115,1935,Darebin City Council,-37.763,144.9886,Northern Metropolitan,11364
Newport,53 Agg St,3,h,,PI,Village,17-03-2018,6.2,3015,1,1,338,105,1940,Hobsons Bay City Council,-37.84343,144.87567,Western Metropolitan,5498
Glenroy,3/28 Stanley St,3,t,545000,S,Barry,10-09-2016,13,3046,2,1,136,130,2014,Moreland City Council,-37.7112,144.9142,Northern Metropolitan,8870
Glenroy,37 Farview St,2,t,420000,SP,Stockdale,22-05-2016,13,3046,1,1,307,,,Moreland City Council,-37.7117,144.9348,Northern Metropolitan,8870
Reservoir,3/126 St Vigeons Rd,2,t,480000,SP,Ray,07-10-2017,12,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Sunbury,20 Brett Ct,4,h,570000,S,Barry,03-09-2017,31.7,3429,2,2,693,174,1995,Hume City Council,-37.57029,144.71163,Western Metropolitan,14092
Doncaster East,3/28 Roger St,3,u,796000,S,Barry,17-02-2018,14.3,3109,,,,,,Manningham City Council,,,Eastern Metropolitan,10999
Fawkner Lot,1/3 Brian St,3,h,616000,SP,Brad,06-01-2018,,,,,,,,,,,,
Sydenham,44 Roseleigh Bvd,3,h,620000,S,Barry,22-07-2017,18,3037,2,2,360,,2000,Brimbank City Council,-37.70686,144.76989,Western Metropolitan,3640
Glenroy,45 Cosmos St,5,h,810000,S,Stockdale,11-03-2017,13,3046,4,4,695,176,1950,Moreland City Council,-37.7028,144.9377,Northern Metropolitan,8870
Moorabbin,24a Franklin St,3,t,800000,S,Buxton,28-08-2016,14.6,3189,2,1,0,,1999,Kingston City Council,-37.9374,145.0542,Southern Metropolitan,2555
Elsternwick,14/20 Victoria St,2,u,635000,S,Biggin,03-03-2018,7.2,3185,,,,,,Glen Eira City Council,,,Southern Metropolitan,4898
Northcote,5 McCutcheon St,4,h,,SP,Jellis,09-12-2017,5.3,3070,2,2,,,,Darebin City Council,-37.76762,145.00004,Northern Metropolitan,11364
Carlton,9/21 University St,2,t,872000,S,Jellis,13-08-2016,1.8,3053,,,,,,Melbourne City Council,,,Northern Metropolitan,6786
Templestowe Lower,360 Thompsons Rd,4,h,790000,PI,Mason,08-10-2016,13.8,3107,2,5,671,180,1970,Manningham City Council,-37.7631,145.1108,Eastern Metropolitan,5420
Albert Park,24 Merton St,2,h,,S,Greg,17-02-2018,3,3206,1,,123,,,Port Phillip City Council,-37.84093,144.95319,Southern Metropolitan,3280
Sandringham,10 Victory St,4,h,1750000,S,Buxton,11-11-2017,15.2,3191,2,2,,,1920,Bayside City Council,-37.9503,145.0111,Southern Metropolitan,4497
Richmond,103/8 Howard St,1,u,380000,PI,Dingle,22-05-2016,2.6,3121,1,1,0,,,Yarra City Council,-37.8331,144.9975,Northern Metropolitan,14949
Bentleigh East,33 Pasadena Cr,4,h,950000,PI,Buxton,03-12-2016,13.9,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Burwood,16 Inverness Av,3,h,1020000,S,Buxton,18-06-2016,11.7,3125,,,,,,Monash City Council,,,Southern Metropolitan,5678
Mordialloc,12 Powlett St,3,h,1350000,S,Barry,07-10-2017,21.5,3195,2,2,500,,,Kingston City Council,-38.00269,145.08696,South-Eastern Metropolitan,3650
Coburg,155 Nicholson St,3,h,825000,S,Ray,23-04-2016,7.8,3058,1,2,577,131,1920,Darebin City Council,-37.7459,144.9773,Northern Metropolitan,11204
Carlton North,395 Station St,4,h,1820000,VB,Nelson,21-10-2017,3.5,3054,2,,165,202,1880,Melbourne City Council,-37.78731,144.97551,Northern Metropolitan,3106
Wollert,40 Whitebark St,4,h,615000,S,HAR,17-03-2018,25.5,3750,2,2,392,0,2015,Whittlesea City Council,-37.61252,145.04288,Northern Metropolitan,2940
Heidelberg Heights,48 Outhwaite Rd,4,h,1190000,S,Miles,25-11-2017,8.8,3081,2,1,585,,,Banyule City Council,-37.7397,145.0546,Eastern Metropolitan,2947
Rowville,12 Fowler Rd,4,h,,PI,Barry,28-10-2017,23.5,3178,2,2,,180,1993,Knox City Council,-37.93864,145.24299,South-Eastern Metropolitan,11667
Mernda,20 McCubbin Wy,4,h,,PI,Iconek,08-07-2017,25.9,3754,2,2,335,154,2010,Whittlesea City Council,-37.59199,145.09061,Northern Metropolitan,5812
Moonee Ponds,1/14 Ardmillan Rd,2,u,601000,S,Brad,28-10-2017,6.2,3039,,,,,,Moonee Valley City Council,,,Western Metropolitan,6232
Prahran,59 Perth St,2,h,,SP,Hodges,29-07-2017,4.6,3181,1,0,121,84,1900,Stonnington City Council,-37.84736,144.98767,Southern Metropolitan,7717
Box Hill,1089 Whitehorse Rd,10,h,,S,Woodards,10-09-2016,13.1,3128,3,2,860,,1970,Whitehorse City Council,-37.8188,145.1323,Eastern Metropolitan,4605
Heidelberg,13 Hodgson St,3,h,1110000,S,Nelson,12-11-2016,10.6,3084,1,2,600,190,1950,Banyule City Council,-37.752,145.0722,Eastern Metropolitan,2890
Heidelberg West,2 Maple Ct,2,h,820000,VB,Barry,15-07-2017,8.8,3081,1,1,721,,,Banyule City Council,-37.74371,145.04161,Eastern Metropolitan,2674
Preston,2/210 Wood St,2,h,678250,S,McGrath,14-10-2017,8.4,3072,,,,,,Darebin City Council,,,Northern Metropolitan,14577
Bundoora,7 Larter Ct,4,h,800888,SP,Barry,18-11-2017,12.1,3083,,,,,,Banyule City Council,,,Northern Metropolitan,10175
Richmond,3 Survey St,3,h,1710000,S,Collins,06-01-2018,2.4,3121,1,1,229,,,Yarra City Council,-37.82583,145.01246,Northern Metropolitan,14949
Balwyn,18 Hilda St,3,h,2010000,S,Noel,18-11-2017,7.9,3103,1,,889,,,Boroondara City Council,-37.8043,145.0757,Southern Metropolitan,5682
Watsonia,2/63 Devonshire Rd,2,u,604000,S,Ray,15-07-2017,14.5,3087,1,1,151,,,Banyule City Council,-37.71298,145.08115,Northern Metropolitan,2329
Brunswick West,3/26 Irvine Cr,2,u,480000,PI,Brad,24-06-2017,5.2,3055,,,,,,Moreland City Council,,,Northern Metropolitan,7082
Brunswick West,3/5 Allard St,1,u,,SN,Walshe,10-02-2018,5.2,3055,1,1,,,,Moreland City Council,-37.7684,144.94214,Northern Metropolitan,7082
St Kilda,7 Blessington St,3,h,,S,hockingstuart,24-09-2016,6.1,3182,,,,,,Port Phillip City Council,-37.872,144.977,Southern Metropolitan,13240
Mount Waverley,23 Baily St,3,h,1530000,S,Ray,17-06-2017,14.2,3149,1,2,810,,,Monash City Council,-37.86838,145.14664,Eastern Metropolitan,13366
St Albans,89 Theodore St,2,h,,PI,Barry,15-07-2017,14,3021,1,0,607,,,Brimbank City Council,-37.73054,144.79997,Western Metropolitan,14042
Glenroy,28 Tarana Av,3,h,780000,S,Brad,16-09-2017,11.2,3046,2,1,,151,1960,Moreland City Council,-37.71139,144.9066,Northern Metropolitan,8870
Preston,99 Murray Rd,3,h,900000,SP,hockingstuart,12-11-2016,8.8,3072,1,1,527,,,Darebin City Council,-37.7396,145.0174,Northern Metropolitan,14577
Yarraville,10/127 Somerville Rd,3,t,645000,SP,Jas,29-07-2017,6.3,3013,,,,,,Maribyrnong City Council,,,Western Metropolitan,6543
Brunswick,109 Stewart St,3,h,1080000,S,Nelson,28-08-2016,5.2,3056,2,1,316,,,Moreland City Council,-37.7643,144.9713,Northern Metropolitan,11918
Brunswick East,7/2 Albion St,2,u,570000,S,McGrath,03-06-2017,4,3057,1,1,0,,1980,Moreland City Council,-37.7631,144.98138,Northern Metropolitan,5533
Melbourne,1915/250 Elizabeth St,1,u,445000,SP,Harcourts,03-02-2018,0,3000,,,,,,Melbourne City Council,,,Northern Metropolitan,17496
Doncaster,33 Gray St,4,h,,S,RW,18-11-2017,12.4,3108,2,2,679,,,Manningham City Council,-37.7894,145.1102,Eastern Metropolitan,9028
Richmond,184 Buckingham St,3,t,1150000,SP,Jellis,17-03-2018,2.4,3121,2,1,104,118,2002,Yarra City Council,-37.81471,145.0086,Northern Metropolitan,14949
Malvern East,25 John St,4,h,,SP,Marshall,17-02-2018,8.4,3145,2,2,491,,1909,Stonnington City Council,-37.87354,145.0406,Southern Metropolitan,8801
Footscray,303/250 Barkly St,1,u,365000,SP,Jas,11-11-2017,5.1,3011,,,,,,Maribyrnong City Council,,,Western Metropolitan,7570
Watsonia,1/16 Lambourn Rd,2,u,640000,PI,Flannagan,16-09-2017,14.5,3087,,,,,,Banyule City Council,,,Northern Metropolitan,2329
Southbank,1809/9 Power St,1,u,,VB,Greg,22-05-2016,1.2,3006,1,1,0,36,2014,Melbourne City Council,-37.8229,144.9612,Southern Metropolitan,8400
Brighton East,6 Egan St,3,h,,SP,Nick,18-03-2017,10.7,3187,1,1,395,,,Bayside City Council,-37.9077,145.0235,Southern Metropolitan,6938
Ascot Vale,4 West St,3,h,,S,Jellis,07-05-2016,5.9,3032,2,2,252,125,1920,Moonee Valley City Council,-37.7774,144.924,Western Metropolitan,6567
Oak Park,18 Plumpton Av,5,h,,PI,Barry,12-11-2016,11.5,3046,,,,,,Moreland City Council,,,Northern Metropolitan,2651
Ascot Vale,5 McCully St,4,h,1610000,S,Jellis,17-03-2018,4.3,3032,2,1,466,194,1900,Moonee Valley City Council,-37.77593,144.92156,Western Metropolitan,6567
Bellfield,345 Waterdale Rd,3,h,1110000,S,Haughton,06-05-2017,9.5,3081,1,2,730,,,Banyule City Council,-37.754,145.0453,Eastern Metropolitan,790
Moorabbin,4a Stayner Gr,3,u,,VB,Jellis,25-11-2017,14.3,3189,2,3,,108,2009,Kingston City Council,-37.9441,145.0401,Southern Metropolitan,2555
Camberwell,3/107 Wattle Valley Rd,3,h,1650000,S,Marshall,03-12-2016,7.8,3124,2,2,305,189,1998,Boroondara City Council,-37.8365,145.0802,Southern Metropolitan,8920
Prahran,403/120 Greville St,2,u,712500,SP,Kay,28-05-2016,4.5,3181,2,1,0,,,Stonnington City Council,-37.8493,144.9908,Southern Metropolitan,7717
Camberwell,11 Gleeson Av,7,h,1700000,VB,Fletchers,03-03-2018,7.7,3124,3,3,654,,,Boroondara City Council,-37.84198,145.09534,Southern Metropolitan,8920
Reservoir,2/16 Cheddar Rd,2,t,490000,S,Nelson,04-03-2017,11.2,3073,1,1,91,84,2014,Darebin City Council,-37.713,145.0108,Northern Metropolitan,21650
Sandringham,6/76 Bay Rd,2,u,643500,S,hockingstuart,01-07-2017,15.2,3191,1,1,0,67,1970,Bayside City Council,-37.95236,145.00737,Southern Metropolitan,4497
Werribee,61 Rowes Rd,3,h,474000,SP,Sweeney,17-03-2018,14.7,3030,2,1,592,,,Wyndham City Council,-37.88933,144.63651,Western Metropolitan,16166
Malvern,45 Wheatland Rd,4,h,,S,Marshall,18-03-2017,7.4,3144,1,1,551,,,Stonnington City Council,-37.8657,145.037,Southern Metropolitan,4675
Sunshine,6/1 Lorraine Ct,2,u,,SP,Sweeney,26-07-2016,12.6,3020,1,1,166,89,1970,Brimbank City Council,-37.7864,144.8212,Western Metropolitan,3755
Oakleigh South,24 Valley St,3,h,800000,S,Ray,25-02-2017,14.7,3167,2,2,0,,,Kingston City Council,-37.918,145.1064,South-Eastern Metropolitan,3692
Surrey Hills,1/3 New St,3,t,1280000,S,Fletchers,14-10-2017,10.2,3127,,,,,,Boroondara City Council,,,Southern Metropolitan,5457
Middle Park,15 McGregor St,2,h,1690000,VB,Buxton,13-08-2016,4.1,3206,1,1,145,,,Port Phillip City Council,-37.852,144.9654,Southern Metropolitan,2019
Frankston South,24 Sycamore Rd,4,h,830000,SP,Ray,09-09-2017,38,3199,1,4,600,158,1985,Frankston City Council,-38.16475,145.1345,South-Eastern Metropolitan,7566
Warrandyte,3 Speers Ct,4,h,1600000,S,Barry,19-08-2017,21.1,3113,2,2,4168,,,Manningham City Council,-37.74611,145.17835,Eastern Metropolitan,2003
Pascoe Vale,45 Pleasant St,3,h,1040000,S,Nelson,24-02-2018,8.5,3044,1,2,641,,,Moreland City Council,-37.72714,144.93421,Northern Metropolitan,7485
Bentleigh East,39 Shrewsbury St,4,h,1365000,PI,Marshall,22-05-2016,13.9,3165,1,1,582,151,1960,Glen Eira City Council,-37.9129,145.0598,Southern Metropolitan,10969
Epping,4/26 Houston St,2,u,397500,S,Ray,24-02-2018,19.6,3076,,,,,,Whittlesea City Council,,,Northern Metropolitan,10926
Dallas,1/15 Riches St,4,h,517000,VB,Stockdale,14-10-2017,14,3047,,,,,,Hume City Council,,,Northern Metropolitan,2246
Carnegie,9/9 Poplar Gr,1,u,350000,SP,Gary,18-11-2017,10.1,3163,,,,,,Glen Eira City Council,,,Southern Metropolitan,7822
Mentone,1A Brindisi St,5,h,2000000,VB,Buxton,28-10-2017,20,3194,3,3,640,,,Kingston City Council,-37.98377,145.06095,South-Eastern Metropolitan,6162
Springvale,41 Moncur Av,4,h,,PI,WeSell,03-06-2017,20.8,3171,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,7412
Broadmeadows,75 Girgarre St,3,h,500000,PI,Barry,23-09-2017,14,3047,2,2,,223,1980,Hume City Council,-37.66691,144.92026,Northern Metropolitan,4294
Kew,8 Campbell St,3,h,1528500,SP,Fletchers,04-03-2017,5.6,3101,1,1,375,,,Boroondara City Council,-37.8015,145.0505,Southern Metropolitan,10331
Thomastown,3/86 Heyington Av,2,u,,PI,hockingstuart,09-12-2017,15.3,3074,,,,,,Whittlesea City Council,,,Northern Metropolitan,7955
South Morang,21 The Atrium,4,h,,PI,Ray,14-10-2017,20.5,3752,2,2,604,262,2014,Whittlesea City Council,-37.61474,145.069,Northern Metropolitan,7969
Ivanhoe,3/24 Green St,3,t,750000,S,Barry,16-04-2016,7.9,3079,1,1,110,,1990,Banyule City Council,-37.765,145.0407,Eastern Metropolitan,5549
Preston,5 Bischoff St,2,h,900000,SP,hockingstuart,25-02-2017,8.8,3072,1,1,529,528,,Darebin City Council,-37.7427,144.9868,Northern Metropolitan,14577
Malvern East,35 Thurso St,3,h,1420000,S,Jellis,11-11-2017,8.4,3145,1,3,,,,Stonnington City Council,-37.8747,145.0823,Southern Metropolitan,8801
Bulleen,2/11 Estelle St,2,u,743000,S,Barry,09-12-2017,10.8,3105,,,,,,Manningham City Council,,,Eastern Metropolitan,4480
Brunswick West,3/91 Melville Rd,2,u,,S,Brad,04-06-2016,5.9,3055,1,1,0,,1970,Moreland City Council,-37.7616,144.9441,Northern Metropolitan,7082
Reservoir,69 Chauvel St,5,h,912000,S,Ray,24-06-2017,12,3073,3,4,890,203,1960,Darebin City Council,-37.70295,145.00277,Northern Metropolitan,21650
